OBJECTID,AQI,Category,ResponsiblePollutant,PollenCount,PollenType,PollenDescription,ReportDateTime
7720,50,Good,PM2.5,1,, Grass,2004/08/12 05:00:00+00
7721,84,Moderate,PM2.5,1,, Grass,2004/08/11 05:00:00+00
7722,83,Moderate,PM2.5,1,, Grass,2004/08/10 05:00:00+00
7723,74,Moderate,PM2.5,1,, Grass,2004/08/09 05:00:00+00
7724,52,Moderate,PM2.5,,,Not on file,2004/08/08 05:00:00+00
7725,38,Good,PM2.5,,,Not on file,2004/08/07 05:00:00+00
7726,44,Good,PM2.5,1,, Grass,2004/08/06 05:00:00+00
7727,98,Moderate,PM2.5,1,Grass,Slight,2004/08/05 05:00:00+00
7728,95,Moderate,Ozone 8-hr,3,, Grass,2004/08/04 05:00:00+00
7729,70,Moderate,PM2.5,1,, Grass,2004/08/03 05:00:00+00
7730,69,Moderate,PM2.5,1,, Grass,2004/08/02 05:00:00+00
7731,58,Moderate,PM2.5,,,Not on file,2004/08/01 05:00:00+00
7732,70,Moderate,PM2.5,,,Not on file,2004/07/31 05:00:00+00
7733,72,Moderate,Ozone 8-hr,1,, Grass,2004/07/30 05:00:00+00
7734,60,Moderate,PM2.5,1,, Grass,2004/07/29 05:00:00+00
7735,71,Moderate,PM2.5,1,, Grass,2004/07/28 05:00:00+00
7736,82,Moderate,PM2.5,2,, Grass,2004/07/27 05:00:00+00
7737,77,Moderate,PM2.5,1,, Grass,2004/07/26 05:00:00+00
7738,74,Moderate,PM2.5,,,Not on file,2004/07/25 05:00:00+00
7739,70,Moderate,PM2.5,,,Not on file,2004/07/24 05:00:00+00
7740,66,Moderate,Ozone 8-hr,4,Grass,Slight,2004/07/23 05:00:00+00
7741,56,Moderate,Ozone 8-hr,1,, Grass,2004/07/22 05:00:00+00
7742,93,Moderate,PM2.5,3,, Grass,2004/07/21 05:00:00+00
7743,91,Moderate,PM2.5,2,, Grass,2004/07/20 05:00:00+00
7744,68,Moderate,PM2.5,1,, Grass,2004/07/19 05:00:00+00
7745,71,Moderate,PM2.5,,,Not on file,2004/07/18 05:00:00+00
7746,70,Moderate,PM2.5,,,Not on file,2004/07/17 05:00:00+00
7747,58,Moderate,PM2.5,2,, Grass,2004/07/16 05:00:00+00
7748,,Not on file,,,,Not on file,2004/07/15 05:00:00+00
7749,43,Good,PM2.5,11,, Grass,2004/07/15 05:00:00+00
7750,65,Moderate,PM2.5,3,, Grass,2004/07/14 05:00:00+00
7751,57,Moderate,PM2.5,3,, Grass,2004/07/13 05:00:00+00
7752,47,Good,PM2.5,10,, Grass,2004/07/12 05:00:00+00
7753,51,Moderate,PM2.5,,,Not on file,2004/07/11 05:00:00+00
7754,58,Moderate,PM2.5,,,Not on file,2004/07/10 05:00:00+00
7755,57,Moderate,PM2.5,3,, Grass,2004/07/09 05:00:00+00
7756,41,Good,PM2.5,7,, Grass,2004/07/08 05:00:00+00
7757,45,Good,PM2.5,3,, Grass,2004/07/07 05:00:00+00
7758,68,Moderate,PM2.5,4,, Grass,2004/07/06 05:00:00+00
7759,58,Moderate,PM2.5,,,Not on file,2004/07/05 05:00:00+00
7760,44,Good,PM2.5,,,Not on file,2004/07/04 05:00:00+00
7761,37,Good,PM2.5,,,Not on file,2004/07/03 05:00:00+00
7762,39,Good,PM2.5,6,, Grass,2004/07/02 05:00:00+00
7763,88,Moderate,PM2.5,5,, Grass,2004/07/01 05:00:00+00
7764,100,Moderate,PM2.5,5,, Grass,2004/06/30 05:00:00+00
7765,91,Moderate,PM2.5,12,, Grass,2004/06/29 05:00:00+00
7766,57,Moderate,PM2.5,9,, Grass,2004/06/28 05:00:00+00
7767,57,Moderate,,,,Not on file,2004/06/27 05:00:00+00
7768,53,Moderate,,,,Not on file,2004/06/26 05:00:00+00
7769,69,Moderate,PM2.5,5,, Grass,2004/06/25 05:00:00+00
7770,61,Moderate,PM2.5,7,Grass,Moderate,2004/06/24 05:00:00+00
7771,60,Moderate,PM2.5,14,, Grass,2004/06/23 05:00:00+00
7772,61,Moderate,PM2.5,13,, Grass,2004/06/22 05:00:00+00
7773,59,Moderate,PM2.5,12,, Grass,2004/06/21 05:00:00+00
7774,65,Moderate,PM2.5,,,Not on file,2004/06/20 05:00:00+00
7775,62,Moderate,PM2.5,,,Not on file,2004/06/19 05:00:00+00
7776,47,Good,PM2.5,5,, Grass,2004/06/18 05:00:00+00
7777,56,Moderate,PM2.5,6,, Grass,2004/06/17 05:00:00+00
7778,60,Moderate,PM2.5,6,, Grass,2004/06/16 05:00:00+00
7779,60,Moderate,PM2.5,3,, Grass,2004/06/15 05:00:00+00
7780,35,Good,PM2.5,2,Grass,Slight,2004/06/14 05:00:00+00
7781,,Not on file,,,,Not on file,2004/06/14 05:00:00+00
7782,59,Moderate,PM2.5,,,Not on file,2004/06/13 05:00:00+00
7783,53,Moderate,PM2.5,,,Not on file,2004/06/12 05:00:00+00
7784,92,Moderate,PM2.5,4,, Grass,2004/06/11 05:00:00+00
7785,,Not on file,,,,Not on file,2004/06/11 05:00:00+00
7786,87,Moderate,PM2.5,1,, Grass,2004/06/10 05:00:00+00
7787,63,Moderate,PM2.5,3,, Grass,2004/06/09 05:00:00+00
7788,73,Moderate,PM2.5,4,, Grass,2004/06/08 05:00:00+00
7789,65,Moderate,PM2.5,1,Grass, Oak,2004/06/07 05:00:00+00
7790,62,Moderate,PM2.5,,,Not on file,2004/06/06 05:00:00+00
7791,63,Moderate,PM2.5,,,Not on file,2004/06/05 05:00:00+00
7792,39,Good,PM2.5,3,, Grass,2004/06/04 05:00:00+00
7793,,Not on file,,,,Not on file,2004/06/04 05:00:00+00
7794,47,Good,PM2.5,3,, Grass,2004/06/03 05:00:00+00
7795,39,Good,PM2.5,7,, Grass,2004/06/02 05:00:00+00
7796,,Not on file,,,,Not on file,2004/06/02 05:00:00+00
7797,33,Good,PM2.5,1,, Grass,2004/06/01 05:00:00+00
7798,51,Moderate,PM2.5,,,Not on file,2004/05/31 05:00:00+00
7799,42,Good,PM2.5,,,Not on file,2004/05/30 05:00:00+00
7800,47,Good,PM2.5,,,Not on file,2004/05/29 05:00:00+00
7801,47,Good,PM2.5,5,Grass, Oak,2004/05/28 05:00:00+00
7802,51,Moderate,PM2.5,3,, Grass,2004/05/27 05:00:00+00
7803,45,Good,PM2.5,3,Grass, Oak,2004/05/26 05:00:00+00
7804,42,Good,PM2.5,3,, Grass,2004/05/25 05:00:00+00
7805,50,Good,PM2.5,22,, Grass,2004/05/24 05:00:00+00
7806,53,Moderate,PM2.5,,,Not on file,2004/05/23 05:00:00+00
7807,52,Moderate,PM2.5,,,Not on file,2004/05/22 05:00:00+00
7808,48,Good,PM2.5,3,, Grass,2004/05/21 05:00:00+00
7809,36,Good,PM2.5,8,Grass, Oak,2004/05/20 05:00:00+00
7810,45,Good,PM2.5,5,, Grass,2004/05/19 05:00:00+00
7811,53,Moderate,PM2.5,37,, Grass,2004/05/18 05:00:00+00
7812,50,Good,PM2.5,14,, Maple,2004/05/17 05:00:00+00
7813,33,Good,PM2.5,,,Not on file,2004/05/16 05:00:00+00
7814,52,Moderate,PM2.5,,,Not on file,2004/05/15 05:00:00+00
7815,58,Moderate,PM2.5,32,Maple, Oak,2004/05/14 05:00:00+00
7816,71,Moderate,PM2.5,37,, Grass,2004/05/13 05:00:00+00
7817,67,Moderate,PM2.5,37,Grass, Maple,2004/05/12 05:00:00+00
7818,83,Moderate,PM2.5,9,, Grass,2004/05/11 05:00:00+00
7819,73,Moderate,PM2.5,7,, Grass,2004/05/10 05:00:00+00
7820,76,Moderate,PM2.5,,,Not on file,2004/05/09 05:00:00+00
7821,73,Moderate,PM2.5,,,Not on file,2004/05/08 05:00:00+00
7822,62,Moderate,PM2.5,23,, Grass,2004/05/07 05:00:00+00
7823,62,Moderate,PM2.5,13,, Grass,2004/05/06 05:00:00+00
7824,44,Good,PM2.5,7,, Grass,2004/05/05 05:00:00+00
7825,38,Good,PM2.5,5,, Grass,2004/05/04 05:00:00+00
7826,37,Good,PM2.5,4,, Grass,2004/05/03 05:00:00+00
7827,50,Good,PM2.5,,,Not on file,2004/05/02 05:00:00+00
7828,63,Moderate,PM2.5,,,Not on file,2004/05/01 05:00:00+00
7829,63,Moderate,PM2.5,15,, Birch,2004/04/30 05:00:00+00
7830,39,Good,PM2.5,16,Birch, Grass,2004/04/29 05:00:00+00
7831,46,Good,PM2.5,31,, Birch,2004/04/28 05:00:00+00
7832,45,Good,PM2.5,43,Birch, Grass,2004/04/27 05:00:00+00
7833,55,Moderate,PM2.5,23,, Birch,2004/04/26 05:00:00+00
7834,55,Moderate,PM2.5,,,Not on file,2004/04/25 05:00:00+00
7835,43,Good,PM2.5,,,Not on file,2004/04/24 05:00:00+00
7836,,Not on file,,,,Not on file,2004/04/23 05:00:00+00
7837,42,Good,PM2.5,16,, Birch,2004/04/23 05:00:00+00
7838,44,Good,PM2.5,25,, Birch,2004/04/22 05:00:00+00
7839,50,Good,PM2.5,142,, Birch,2004/04/21 05:00:00+00
7840,50,Good,PM2.5,178,, Birch,2004/04/20 05:00:00+00
7841,55,Moderate,PM2.5,83,, Birch,2004/04/19 05:00:00+00
7842,59,Moderate,PM2.5,,,Not on file,2004/04/18 05:00:00+00
7843,60,Moderate,Ozone 8-hr,,,Not on file,2004/04/17 05:00:00+00
7844,53,Moderate,PM2.5,35,, Birch,2004/04/16 05:00:00+00
7845,45,Good,PM2.5,69,, Birch,2004/04/15 05:00:00+00
7846,30,Good,PM2.5,8,, Birch,2004/04/14 05:00:00+00
7847,47,Good,PM2.5,4,, Birch,2004/04/13 05:00:00+00
7848,56,Moderate,PM2.5,97,Birch, Cedar,2004/04/12 05:00:00+00
7849,61,Moderate,PM2.5,,,Not on file,2004/04/11 05:00:00+00
7850,53,Moderate,PM2.5,,,Not on file,2004/04/10 05:00:00+00
7851,55,Moderate,PM2.5,69,Cedar, Grass,2004/04/09 05:00:00+00
7852,54,Moderate,PM2.5,50,, Cedar,2004/04/08 05:00:00+00
7853,47,Good,PM2.5,67,, Cedar,2004/04/07 05:00:00+00
7854,,Not on file,,,,Not on file,2004/04/07 05:00:00+00
7855,37,Good,Ozone 8-hr,28,, Cedar,2004/04/06 05:00:00+00
7856,31,Good,Ozone 8-hr,49,, Cedar,2004/04/05 05:00:00+00
7857,35,Good,Ozone 8-hr,,,Not on file,2004/04/04 06:00:00+00
7858,34,Good,Ozone 8-hr,,,Not on file,2004/04/03 06:00:00+00
7859,28,Good,Ozone 8-hr,8,, Cedar,2004/04/02 06:00:00+00
7860,21,Good,Ozone 8-hr,8,, Cedar,2004/04/01 06:00:00+00
7861,30,Good,Ozone 8-hr,23,, Cedar,2004/03/31 06:00:00+00
7862,26,Good,PM2.5,77,, Cedar,2004/03/30 06:00:00+00
7863,40,Good,PM2.5,274,, Cedar,2004/03/29 06:00:00+00
7864,45,Good,PM2.5,,,Not on file,2004/03/28 06:00:00+00
7865,46,Good,PM2.5,,,Not on file,2004/03/27 06:00:00+00
7866,56,Moderate,PM2.5,31,Cedar, Maple,2004/03/26 06:00:00+00
7867,56,Moderate,PM2.5,10,Cedar, Maple,2004/03/25 06:00:00+00
7868,37,Good,Ozone 8-hr,10,, Cedar,2004/03/24 06:00:00+00
7869,32,Good,PM2.5,1,, Cedar,2004/03/23 06:00:00+00
7870,25,Good,PM2.5,3,Cedar, Maple,2004/03/22 06:00:00+00
7871,50,Good,PM2.5,,,Not on file,2004/03/21 06:00:00+00
7872,38,Good,PM2.5,,,Not on file,2004/03/20 06:00:00+00
7873,35,Good,Ozone 8-hr,43,Cedar, Maple,2004/03/19 06:00:00+00
7874,42,Good,PM2.5,2,Alder, Cedar,2004/03/18 06:00:00+00
7875,42,Good,PM2.5,1,, Alder,2004/03/17 06:00:00+00
7876,56,Moderate,PM2.5,5,, Alder,2004/03/16 06:00:00+00
7877,58,Moderate,PM2.5,1,, Alder,2004/03/15 06:00:00+00
7878,39,Good,PM2.5,,,Not on file,2004/03/14 06:00:00+00
7879,25,Good,Ozone 8-hr,,,Not on file,2004/03/13 06:00:00+00
7880,51,Moderate,PM2.5,7,Alder, Cedar,2004/03/12 06:00:00+00
7881,,Not on file,,,,Not on file,2004/03/11 06:00:00+00
7882,44,Good,PM2.5,1,, Alder,2004/03/11 06:00:00+00
7883,32,Good,PM2.5,5,Alder, Cedar,2004/03/10 06:00:00+00
7884,,Not on file,,5,, Alder,2004/03/10 06:00:00+00
7885,29,Good,Ozone 8-hr,5,, Alder,2004/03/09 06:00:00+00
7886,38,Good,PM2.5,9,, Alder,2004/03/08 06:00:00+00
7887,36,Good,PM2.5,,,Not on file,2004/03/07 06:00:00+00
7888,38,Good,PM2.5,,,Not on file,2004/03/06 06:00:00+00
7889,,Not on file,,,,Not on file,2004/03/05 06:00:00+00
7890,39,Good,PM2.5,40,Alder, Cedar,2004/03/05 06:00:00+00
7891,46,Good,PM2.5,65,, Alder,2004/03/04 06:00:00+00
7892,43,Good,PM2.5,5,, Alder,2004/03/03 06:00:00+00
7893,30,Good,PM2.5,7,Alder, Cedar,2004/03/02 06:00:00+00
7894,42,Good,Ozone 8-hr,9,, Alder,2004/03/01 06:00:00+00
7895,45,Good,PM2.5,,,Not on file,2004/02/29 06:00:00+00
7896,41,Good,PM2.5,,,Not on file,2004/02/28 06:00:00+00
7897,29,Good,PM2.5,,,Not on file,2004/02/27 06:00:00+00
7898,48,Good,PM2.5,,,Not on file,2004/02/26 06:00:00+00
7899,,Not on file,,,,Not on file,2004/02/26 06:00:00+00
7900,55,Moderate,PM2.5,,,Not on file,2004/02/25 06:00:00+00
7901,54,Moderate,PM2.5,,,Not on file,2004/02/24 06:00:00+00
7902,45,Good,PM2.5,,,Not on file,2004/02/23 06:00:00+00
7903,41,Good,PM2.5,,,Not on file,2004/02/22 06:00:00+00
7904,41,Good,PM2.5,,,Not on file,2004/02/21 06:00:00+00
7905,39,Good,Ozone 8-hr,,,Not on file,2004/02/20 06:00:00+00
7906,38,Good,PM2.5,,,Not on file,2004/02/19 06:00:00+00
7907,37,Good,PM2.5,,,Not on file,2004/02/18 06:00:00+00
7908,32,Good,PM2.5,,,Not on file,2004/02/18 06:00:00+00
7909,32,Good,PM2.5,,,Not on file,2004/02/17 06:00:00+00
7910,28,Good,PM2.5,,,Not on file,2004/02/16 06:00:00+00
7911,32,Good,PM2.5,,,Not on file,2004/02/15 06:00:00+00
7912,,Not on file,,,,Not on file,2004/02/15 06:00:00+00
7913,31,Good,PM2.5,,,Not on file,2004/02/14 06:00:00+00
7914,23,Good,PM10,,,Not on file,2004/02/13 06:00:00+00
7915,43,Good,PM2.5,,,Not on file,2004/02/12 06:00:00+00
7916,42,Good,PM2.5,,,Not on file,2004/02/11 06:00:00+00
7917,41,Good,PM2.5,,,Not on file,2004/02/10 06:00:00+00
7918,42,Good,PM2.5,,,Not on file,2004/02/09 06:00:00+00
7919,38,Good,PM2.5,,,Not on file,2004/02/08 06:00:00+00
7920,29,Good,PM2.5,,,Not on file,2004/02/07 06:00:00+00
7921,48,Good,PM2.5,,,Not on file,2004/02/06 06:00:00+00
7922,62,Moderate,PM2.5,,,Not on file,2004/02/05 06:00:00+00
7923,61,Moderate,PM2.5,,,Not on file,2004/02/04 06:00:00+00
7924,25,Good,PM2.5,,,Not on file,2004/02/03 06:00:00+00
7925,30,Good,PM2.5,,,Not on file,2004/02/02 06:00:00+00
7926,42,Good,PM2.5,,,Not on file,2004/02/01 06:00:00+00
7927,37,Good,PM2.5,,,Not on file,2004/01/31 06:00:00+00
7928,40,Good,PM2.5,,,Not on file,2004/01/30 06:00:00+00
7929,38,Good,PM2.5,,,Not on file,2004/01/29 06:00:00+00
7930,39,Good,PM2.5,,,Not on file,2004/01/28 06:00:00+00
7931,41,Good,PM2.5,,,Not on file,2004/01/27 06:00:00+00
7932,30,Good,PM2.5,,,Not on file,2004/01/26 06:00:00+00
7933,38,Good,PM2.5,,,Not on file,2004/01/25 06:00:00+00
7934,32,Good,PM2.5,,,Not on file,2004/01/24 06:00:00+00
7935,15,Good,Carbon monoxide,,,Not on file,2004/01/23 06:00:00+00
7936,37,Good,Carbon monoxide,,,Not on file,2004/01/22 06:00:00+00
7937,15,Good,Ozone 8-hr,,,Not on file,2004/01/21 06:00:00+00
7938,,Not on file,,,,Not on file,2004/01/20 06:00:00+00
7939,14,Good,Carbon monoxide,,,Not on file,2004/01/20 06:00:00+00
7940,11,Good,Carbon monoxide,,,Not on file,2004/01/19 06:00:00+00
7941,21,Good,Ozone 8-hr,,,Not on file,2004/01/18 06:00:00+00
7942,22,Good,Ozone 8-hr,,,Not on file,2004/01/17 06:00:00+00
7943,22,Good,Carbon monoxide,,,Not on file,2004/01/16 06:00:00+00
7944,20,Good,Ozone 8-hr,,,Not on file,2004/01/15 06:00:00+00
7945,31,Good,Carbon monoxide,,,Not on file,2004/01/14 06:00:00+00
7946,48,Good,PM10,,,Not on file,2004/01/13 06:00:00+00
7947,21,Good,Ozone 8-hr,,,Not on file,2004/01/12 06:00:00+00
7948,16,Good,Ozone 8-hr,,,Not on file,2004/01/11 06:00:00+00
7949,13,Good,Carbon monoxide,,,Not on file,2004/01/10 06:00:00+00
7950,25,Good,PM10,,,Not on file,2004/01/09 06:00:00+00
7951,19,Good,Ozone 8-hr,,,Not on file,2004/01/08 06:00:00+00
7952,21,Good,Ozone 8-hr,,,Not on file,2004/01/07 06:00:00+00
7953,13,Good,Carbon monoxide,,,Not on file,2004/01/06 06:00:00+00
7954,24,Good,Ozone 8-hr,,,Not on file,2004/01/05 06:00:00+00
7955,,Not on file,,,,Not on file,2004/01/04 06:00:00+00
7956,,Not on file,,,,Not on file,2004/01/03 06:00:00+00
7957,17,Good,Carbon monoxide,,,Not on file,2004/01/02 06:00:00+00
7958,34,Good,Carbon monoxide,,,Not on file,2004/01/01 06:00:00+00
7959,27,Good,Carbon monoxide,,,Not on file,2003/12/31 06:00:00+00
7960,11,Good,Carbon monoxide,,,Not on file,2003/12/30 06:00:00+00
7961,20,Good,Carbon monoxide,,,Not on file,2003/12/29 06:00:00+00
7962,38,Good,Carbon monoxide,,,Not on file,2003/12/28 06:00:00+00
7963,40,Good,Carbon monoxide,,,Not on file,2003/12/27 06:00:00+00
7964,34,Good,Carbon monoxide,,,Not on file,2003/12/26 06:00:00+00
7965,4,Good,Carbon monoxide,,,Not on file,2003/12/25 06:00:00+00
7966,10,Good,Carbon monoxide,,,Not on file,2003/12/24 06:00:00+00
7967,27,Good,PM2.5,,,Not on file,2003/12/23 06:00:00+00
7968,32,Good,PM2.5,,,Not on file,2003/12/22 06:00:00+00
7969,33,Good,PM2.5,,,Not on file,2003/12/21 06:00:00+00
7970,23,Good,PM2.5,,,Not on file,2003/12/20 06:00:00+00
7971,,Not on file,,,,Not on file,2003/12/19 06:00:00+00
7972,23,Good,PM2.5,,,Not on file,2003/12/19 06:00:00+00
7973,29,Good,PM2.5,,,Not on file,2003/12/18 06:00:00+00
7974,37,Good,PM2.5,,,Not on file,2003/12/17 06:00:00+00
7975,44,Good,PM2.5,,,Not on file,2003/12/16 06:00:00+00
7976,42,Good,PM2.5,,,Not on file,2003/12/15 06:00:00+00
7977,32,Good,PM2.5,,,Not on file,2003/12/14 06:00:00+00
7978,35,Good,PM2.5,,,Not on file,2003/12/13 06:00:00+00
7979,33,Good,PM2.5,,,Not on file,2003/12/12 06:00:00+00
7980,43,Good,PM2.5,,,Not on file,2003/12/11 06:00:00+00
7981,52,Moderate,PM2.5,,,Not on file,2003/12/10 06:00:00+00
7982,42,Good,PM2.5,,,Not on file,2003/12/09 06:00:00+00
7983,52,Moderate,PM2.5,,,Not on file,2003/12/08 06:00:00+00
7984,46,Good,PM2.5,,,Not on file,2003/12/07 06:00:00+00
7985,29,Good,PM2.5,,,Not on file,2003/12/06 06:00:00+00
7986,31,Good,PM2.5,,,Not on file,2003/12/05 06:00:00+00
7987,31,Good,PM2.5,,,Not on file,2003/12/04 06:00:00+00
7988,,Not on file,,,,Not on file,2003/12/03 06:00:00+00
7989,32,Good,PM2.5,,,Not on file,2003/12/03 06:00:00+00
7990,30,Good,PM2.5,,,Not on file,2003/12/02 06:00:00+00
7991,29,Good,PM2.5,,,Not on file,2003/12/01 06:00:00+00
7992,29,Good,PM2.5,,,Not on file,2003/11/30 06:00:00+00
7993,29,Good,PM2.5,,,Not on file,2003/11/29 06:00:00+00
7994,38,Good,PM2.5,,,Not on file,2003/11/28 06:00:00+00
7995,36,Good,PM2.5,,,Not on file,2003/11/27 06:00:00+00
7996,36,Good,PM2.5,,,Not on file,2003/11/26 06:00:00+00
7997,34,Good,PM2.5,,,Not on file,2003/11/25 06:00:00+00
7998,,Not on file,,,,Not on file,2003/11/25 06:00:00+00
7999,38,Good,PM2.5,,,Not on file,2003/11/24 06:00:00+00
8000,39,Good,PM2.5,,,Not on file,2003/11/23 06:00:00+00
8001,35,Good,PM2.5,,,Not on file,2003/11/22 06:00:00+00
8002,34,Good,PM2.5,,,Not on file,2003/11/21 06:00:00+00
8003,22,Good,PM2.5,,,Not on file,2003/11/20 06:00:00+00
8004,37,Good,PM2.5,,,Not on file,2003/11/19 06:00:00+00
8005,52,Moderate,PM2.5,,,Not on file,2003/11/18 06:00:00+00
8006,,Not on file,,,,Not on file,2003/11/17 06:00:00+00
8007,57,Moderate,PM2.5,,,Not on file,2003/11/17 06:00:00+00
8008,48,Good,PM2.5,,,Not on file,2003/11/16 06:00:00+00
8009,34,Good,PM2.5,,,Not on file,2003/11/15 06:00:00+00
8010,27,Good,PM2.5,,,Not on file,2003/11/14 06:00:00+00
8011,50,Good,PM2.5,,,Not on file,2003/11/13 06:00:00+00
8012,51,Moderate,PM2.5,,,Not on file,2003/11/12 06:00:00+00
8013,51,Moderate,PM2.5,,,Not on file,2003/11/11 06:00:00+00
8014,40,Good,PM2.5,,,Not on file,2003/11/10 06:00:00+00
8015,39,Good,PM2.5,,,Not on file,2003/11/09 06:00:00+00
8016,39,Good,PM2.5,,,Not on file,2003/11/08 06:00:00+00
8017,16,Good,PM2.5,,,Not on file,2003/11/07 06:00:00+00
8018,51,Moderate,PM2.5,,,Not on file,2003/11/06 06:00:00+00
8019,70,Moderate,PM2.5,,,Not on file,2003/11/05 06:00:00+00
8020,70,Moderate,PM2.5,,,Not on file,2003/11/04 06:00:00+00
8021,69,Moderate,PM2.5,1,, Ragweed,2003/11/03 06:00:00+00
8022,65,Moderate,PM2.5,,,Not on file,2003/11/02 06:00:00+00
8023,62,Moderate,PM2.5,,,Not on file,2003/11/01 06:00:00+00
8024,48,Good,PM2.5,1,, Ragweed,2003/10/31 06:00:00+00
8025,43,Good,PM2.5,1,, Ragweed,2003/10/30 06:00:00+00
8026,46,Good,PM2.5,1,, Ragweed,2003/10/29 06:00:00+00
8027,48,Good,PM2.5,1,, Ragweed,2003/10/28 06:00:00+00
8028,56,Moderate,PM2.5,1,Ragweed,Slight,2003/10/27 06:00:00+00
8029,70,Moderate,PM2.5,,,Not on file,2003/10/26 05:00:00+00
8030,51,Moderate,PM2.5,,,Not on file,2003/10/25 05:00:00+00
8031,,Not on file,,,,Not on file,2003/10/24 05:00:00+00
8032,50,Good,PM2.5,1,, Ragweed,2003/10/24 05:00:00+00
8033,48,Good,PM2.5,3,, Ragweed,2003/10/23 05:00:00+00
8034,53,Moderate,PM2.5,1,, Ragweed,2003/10/22 05:00:00+00
8035,58,Moderate,PM2.5,1,, Ragweed,2003/10/21 05:00:00+00
8036,56,Moderate,PM2.5,2,, Ragweed,2003/10/20 05:00:00+00
8037,49,Good,PM2.5,,,Not on file,2003/10/19 05:00:00+00
8038,49,Good,PM2.5,,,Not on file,2003/10/18 05:00:00+00
8039,42,Good,PM2.5,1,, Ragweed,2003/10/17 05:00:00+00
8040,41,Good,PM2.5,1,, Ragweed,2003/10/16 05:00:00+00
8041,,Not on file,,,,Not on file,2003/10/16 05:00:00+00
8042,54,Moderate,PM2.5,1,, Ragweed,2003/10/15 05:00:00+00
8043,56,Moderate,PM2.5,,,Not on file,2003/10/15 05:00:00+00
8044,56,Moderate,PM2.5,,,Not on file,2003/10/15 05:00:00+00
8045,28,Good,PM2.5,,,Not on file,2003/10/14 05:00:00+00
8046,27,Good,PM2.5,2,Ragweed,Slight,2003/10/14 05:00:00+00
8047,63,Moderate,PM2.5,1,, Ragweed,2003/10/13 05:00:00+00
8048,51,Moderate,PM2.5,,,Not on file,2003/10/12 05:00:00+00
8049,51,Moderate,PM2.5,,,Not on file,2003/10/11 05:00:00+00
8050,67,Moderate,PM2.5,6,, Ragweed,2003/10/10 05:00:00+00
8051,66,Moderate,PM2.5,4,, Ragweed,2003/10/09 05:00:00+00
8052,46,Good,PM2.5,3,, Ragweed,2003/10/08 05:00:00+00
8053,47,Good,PM2.5,1,, Ragweed,2003/10/07 05:00:00+00
8054,19,Good,Carbon monoxide,3,, Ragweed,2003/10/06 05:00:00+00
8055,53,Moderate,PM2.5,,,Not on file,2003/10/05 05:00:00+00
8056,38,Good,PM2.5,,,Not on file,2003/10/04 05:00:00+00
8057,24,Good,Ozone 8-hr,3,Ragweed,Slight,2003/10/03 05:00:00+00
8058,,Not on file,,,,Not on file,2003/10/02 05:00:00+00
8059,27,Good,PM2.5,4,, Ragweed,2003/10/02 05:00:00+00
8060,34,Good,PM2.5,6,Ragweed,Moderate,2003/10/01 05:00:00+00
8061,32,Good,PM2.5,4,Ragweed,Slight,2003/09/30 05:00:00+00
8062,30,Good,PM2.5,13,Ragweed,Moderate,2003/09/29 05:00:00+00
8063,56,Moderate,PM2.5,,,Not on file,2003/09/28 05:00:00+00
8064,63,Moderate,PM2.5,,,Not on file,2003/09/27 05:00:00+00
8065,62,Moderate,PM2.5,7,Ragweed,Moderate,2003/09/26 05:00:00+00
8066,44,Good,PM2.5,17,Ragweed,Heavy,2003/09/25 05:00:00+00
8067,44,Good,PM2.5,27,Ragweed,Extremely Heavy,2003/09/24 05:00:00+00
8068,44,Good,PM2.5,27,Ragweed,Extremely Heavy,2003/09/24 05:00:00+00
8069,64,Moderate,PM2.5,8,Ragweed,Moderate,2003/09/23 05:00:00+00
8070,72,Moderate,PM2.5,10,Ragweed,Moderate,2003/09/22 05:00:00+00
8071,56,Moderate,PM2.5,,,Not on file,2003/09/21 05:00:00+00
8072,85,Moderate,PM2.5,,,Not on file,2003/09/20 05:00:00+00
8073,80,Moderate,PM2.5,8,Ragweed,Moderate,2003/09/19 05:00:00+00
8074,71,Moderate,PM2.5,4,Ragweed,Slight,2003/09/18 05:00:00+00
8075,40,Good,PM2.5,18,Ragweed,Heavy,2003/09/17 05:00:00+00
8076,28,Good,Ozone 8-hr,2,Ragweed,Slight,2003/09/16 05:00:00+00
8077,61,Moderate,PM2.5,7,Ragweed,Moderate,2003/09/15 05:00:00+00
8078,80,Moderate,PM2.5,,,Not on file,2003/09/14 05:00:00+00
8079,109,Unhealthy for Sensitive Groups,PM2.5,,,Not on file,2003/09/13 05:00:00+00
8080,111,Unhealthy for Sensitive Groups,PM2.5,21,Ragweed,Heavy,2003/09/12 05:00:00+00
8081,93,Moderate,PM2.5,13,Ragweed,Moderate,2003/09/11 05:00:00+00
8082,87,Moderate,PM2.5,10,Ragweed,Moderate,2003/09/10 05:00:00+00
8083,83,Moderate,PM2.5,5,Ragweed,Slight,2003/09/09 05:00:00+00
8084,71,Moderate,PM2.5,8,Ragweed,Moderate,2003/09/08 05:00:00+00
8085,63,Moderate,PM2.5,,,Not on file,2003/09/07 05:00:00+00
8086,45,Good,PM2.5,,,Not on file,2003/09/06 05:00:00+00
8087,52,Moderate,PM2.5,14,Ragweed,Moderate,2003/09/05 05:00:00+00
8088,30,Good,PM2.5,2,Ragweed,Slight,2003/09/04 05:00:00+00
